contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,label
671.4397978,874.4320953,353.8014859,578.1137562,8.845159314,10.5436832,5.413679534,8.173640907,0.617675611,0.595488467,0.662391075,0.606684326,0.521726131,0.520361252,0.524123898,0.521643228,0.949182097,0.933873502,0.973198266,0.956281753,dress
337.3218444,443.0972395,252.545098,500.1423453,6.230943627,7.298085352,5.040747549,7.589850058,0.688136592,0.682106623,0.706631677,0.680292881,0.651689448,0.649187882,0.652792231,0.649278423,0.968366917,0.958551204,0.976317039,0.953215014,dress
264.6193321,313.3027451,108.9897825,280.2503499,4.904840686,5.321845444,3.088802083,5.084951942,0.799016262,0.798089263,0.820348626,0.799029803,0.784513452,0.784539998,0.791207473,0.784984878,0.959803086,0.952510581,0.983428761,0.957520557,dress
284.8237439,311.3101884,119.5702972,389.7398078,4.175582108,4.497147251,2.369715074,4.905759323,0.834405461,0.831389338,0.865103034,0.829135031,0.810850556,0.810932455,0.816577429,0.810195265,0.957217785,0.953393945,0.982040089,0.941652295,dress
592.4676164,691.354233,333.2990349,691.9878047,10.2801777,11.25780854,7.422104779,11.28044598,0.642262607,0.635072693,0.658531484,0.636129709,0.614198728,0.611752871,0.618661316,0.612029736,0.945821772,0.936919743,0.969521293,0.936861935,dress
333.5656556,420.2188082,144.5391238,415.697501,5.312591912,6.127981546,3.0375,5.931872357,0.772914056,0.766486754,0.798332653,0.769510588,0.744363556,0.743679057,0.749371311,0.743341761,0.960405558,0.950266749,0.982842385,0.950801849,dress
380.0605392,453.5274587,148.4398438,470.4171165,5.049080882,6.026097655,3.24676777,6.219469435,0.784673257,0.770215217,0.807330109,0.768806558,0.738189809,0.737866328,0.746941588,0.737911327,0.95692673,0.948642185,0.983140252,0.946729587,dress
501.2237439,491.8489196,96.82113971,601.8465821,7.31528799,7.250811226,2.471783088,8.172856594,0.739082001,0.736489567,0.788244755,0.732239983,0.713563205,0.712181318,0.720774909,0.711690983,0.946911501,0.948013113,0.989736848,0.936386706,dress
382.9910233,495.3063437,169.5407016,408.7122645,6.710723039,7.743283353,3.614690564,6.984405998,0.712087415,0.703835977,0.768772654,0.704571121,0.674377302,0.672929145,0.677990568,0.672544996,0.95957496,0.947844766,0.982102324,0.956963031,dress
922.912163,993.7369319,367.7967831,1098.937824,13.26219363,13.42809689,7.206862745,14.27088043,0.549612655,0.552099096,0.601651427,0.547052418,0.50892333,0.508592735,0.516453744,0.508378378,0.930341585,0.925106668,0.972236502,0.917178212,dress
730.9990502,866.3293656,239.821921,737.6836448,9.761856618,11.23323337,5.31416973,9.857885429,0.642556399,0.634833856,0.672538215,0.635827356,0.600549948,0.599806363,0.604880585,0.599991738,0.939347599,0.928228502,0.980087297,0.938886222,dress
283.5884498,330.337747,91.96838235,327.9842522,3.669240196,4.11337178,1.783057598,4.106912726,0.874885204,0.868636985,0.899204476,0.868640971,0.842752709,0.842039076,0.849171936,0.841992414,0.950587704,0.942636458,0.983975038,0.943045145,dress
358.9899816,454.9143099,181.3589614,445.0844598,6.70557598,7.598477509,4.464629289,7.472402922,0.683223356,0.678611674,0.710602944,0.679008277,0.654226081,0.65264039,0.658855081,0.653021855,0.963844806,0.954261964,0.981721218,0.955250278,dress
178.4331495,194.1978008,43.03333333,207.8296655,4.517830882,4.744267589,1.556709559,4.895317186,0.78374845,0.781213718,0.830061233,0.779593107,0.765311748,0.763990621,0.770316302,0.763945638,0.977665457,0.975767166,0.994613551,0.974066123,dress
168.2015319,203.4577163,43.83385417,187.4114879,3.125214461,3.540699731,1.414185049,3.316047674,0.845906061,0.84279499,0.876361375,0.843535046,0.829869083,0.828633838,0.834761762,0.828756279,0.972458094,0.966796668,0.992822492,0.969415336,dress
360.1868873,430.3865436,165.412546,425.0691119,4.741329657,5.258392926,3.028324142,5.422852749,0.808583592,0.80324049,0.829930688,0.802032055,0.777225593,0.776455901,0.78217088,0.776503907,0.95360894,0.944742785,0.978695449,0.945425489,dress
399.1601409,446.6716955,159.9270987,440.3678739,7.336672794,7.706435986,3.993581495,7.622222222,0.648358733,0.640031978,0.69031259,0.639175727,0.605152311,0.60347741,0.606921254,0.603630357,0.966607684,0.962717796,0.986621123,0.963243955,dress
