contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,label
1052.333088,1257.515417,531.8098346,1225.784175,10.57034314,11.86445213,7.228952206,11.74499039,0.738635475,0.732923141,0.769998427,0.732212795,0.717084367,0.714638657,0.728240149,0.714730837,0.888699703,0.867383322,0.943752987,0.870729676,pants
965.7899816,1176.017839,353.5711397,1202.295302,10.92634804,12.41805459,6.000520833,12.65910035,0.663679166,0.654941938,0.698514615,0.653618715,0.636022774,0.632735505,0.646126534,0.632675443,0.914361157,0.895979687,0.968648025,0.893655411,pants
526.2656556,669.0617762,148.318076,565.3617839,7.73314951,9.592525952,4.142064951,8.299546328,0.644887167,0.615306906,0.688825644,0.623496811,0.559635242,0.556745763,0.570039128,0.55649504,0.95875946,0.947677231,0.988377431,0.955786902,pants
1017.562439,1288.118416,372.2808824,1208.852534,11.28854167,13.51495579,7.059375,12.74349865,0.630518349,0.620254876,0.658295474,0.622291359,0.601072082,0.597448856,0.612078179,0.597496275,0.91458121,0.892117188,0.96874906,0.898755884,pants
653.007261,628.6362784,217.654902,863.7296424,7.479963235,7.658408305,4.566268382,9.391249519,0.724027526,0.715350733,0.744914529,0.708806127,0.685539979,0.683895986,0.692073191,0.683128038,0.936292216,0.938837522,0.978765456,0.915964371,pants
749.4280637,913.4477201,228.684038,915.0939792,7.639368873,8.921645521,3.802696078,8.989650135,0.772444395,0.76273584,0.8194205,0.760779831,0.733207811,0.730834137,0.744216271,0.730741099,0.915389946,0.897176285,0.974181686,0.896990971,pants
588.3046262,760.2954248,278.7574142,764.858193,7.093351716,8.473233372,4.590441176,8.492333718,0.776829302,0.769342754,0.797603869,0.769887994,0.750567611,0.748925209,0.758866044,0.748987531,0.930672775,0.910676759,0.967150559,0.910140703,pants
809.6795037,913.7209227,261.4070313,931.0993772,9.353247549,10.2820915,5.432429534,10.39395617,0.716914562,0.714409214,0.753986866,0.713693426,0.701195681,0.70077374,0.717829028,0.700620177,0.91588817,0.905360465,0.972847638,0.903560474,pants
914.8217218,1071.235063,240.4286152,1084.74273,8.514307598,9.94094579,4.191268382,9.970811226,0.701591254,0.690970043,0.743805665,0.691247297,0.66240984,0.660689928,0.675529993,0.660626186,0.91415761,0.899750245,0.977440338,0.898486153,pants
988.0614583,1310.699669,374.2783395,1185.891457,9.333946078,12.16079969,6.04598652,11.11587851,0.708118158,0.677998619,0.729659385,0.682403898,0.64423186,0.64158978,0.656084613,0.641499062,0.912305752,0.883963255,0.96678136,0.895012574,pants
258.6348958,386.4746175,177.3224571,366.3124029,5.432414216,6.794340638,4.052389706,6.676232218,0.71699396,0.707499846,0.749925679,0.707362403,0.689405066,0.686308957,0.701547521,0.68646086,0.974233191,0.961604407,0.982334039,0.963607488,pants
823.6248162,1042.836478,516.6032782,1104.42396,9.94877451,12.00221453,8.579044118,12.61124183,0.71108613,0.70409637,0.727198475,0.703241868,0.69330316,0.691214663,0.703477283,0.691336811,0.917669512,0.896048771,0.948359834,0.889909655,pants
869.7801164,1155.031665,470.7133885,1166.188881,10.00621936,12.56489043,7.832965686,12.66642061,0.636130149,0.620293635,0.650640761,0.620870229,0.597547303,0.593319796,0.605874048,0.593212732,0.927615545,0.904094784,0.960826499,0.903168372,pants
1003.373162,1166.255025,312.2766085,1165.659715,9.25971201,10.47795463,5.022104779,10.54992695,0.727776275,0.723885811,0.768567923,0.722602577,0.700089425,0.698877521,0.713507632,0.698876808,0.898427537,0.882275995,0.968388884,0.882336087,pants
199.6466299,327.6552403,169.536152,316.633787,6.223192402,8.466620531,5.873345588,8.367889273,0.525375127,0.485046828,0.519632353,0.486939971,0.388232187,0.383660478,0.389625803,0.383428745,0.985592697,0.976368475,0.987765633,0.977163377,pants
442.8520833,550.6538408,227.4092831,551.4962553,8.416973039,9.789096501,6.145128676,9.800999616,0.605159506,0.597717617,0.634957769,0.597692778,0.565940521,0.565629092,0.579279853,0.565236317,0.964589133,0.956072396,0.981820519,0.956005161,pants
1093.586428,1330.995525,627.4768995,1383.669204,14.43927696,16.05767013,10.4950674,16.6059208,0.590651746,0.581558632,0.613807303,0.58141125,0.567296206,0.563713816,0.577214714,0.563894731,0.91199631,0.893111597,0.949505333,0.888881526,pants
604.5709252,719.8855825,244.9926777,747.4343714,6.886366422,7.911726259,4.383210784,8.100668973,0.785355602,0.777458903,0.80995705,0.776466064,0.764914845,0.763336478,0.777457059,0.763366509,0.924768978,0.910699258,0.969513834,0.907281871,pants
1167.844822,1381.982376,648.6029718,1561.937163,13.85931373,15.64392157,11.10870098,16.99041907,0.606371774,0.599082269,0.624079457,0.597226818,0.584248061,0.581780544,0.593513403,0.581535167,0.903086556,0.885556171,0.94617577,0.870653872,pants
273.0344975,315.8774933,161.8445772,420.7436832,5.668198529,6.312802768,4.041268382,7.479307958,0.684320494,0.675123238,0.720367657,0.667671031,0.636171265,0.634359576,0.64719808,0.633286861,0.97489805,0.971031051,0.985120508,0.961413831,pants
984.9832108,1247.497178,586.3030025,1270.197616,13.24160539,15.46826605,10.30713848,15.70961938,0.583157727,0.566695595,0.604321623,0.566533984,0.535840751,0.531896587,0.54343389,0.532030142,0.923841212,0.903714369,0.95466712,0.901962177,pants
865.8110294,1013.813057,206.8604779,954.4382007,9.977849265,11.15444829,4.37120098,10.6925644,0.684940041,0.678576354,0.724840228,0.68011532,0.661233917,0.659387746,0.672453394,0.659297253,0.91864218,0.904955475,0.980556325,0.910521841,pants
658.5928922,778.9656901,226.1007659,799.0179162,7.837224265,9.011887735,4.811519608,9.362891196,0.701870503,0.693139607,0.728928539,0.69093551,0.672244879,0.669121643,0.684077031,0.66904641,0.936662712,0.925288483,0.978255749,0.92336525,pants
637.9604167,824.6230527,266.6279412,826.115494,7.371047794,9.19526336,4.910631127,9.1455594,0.747794549,0.737379352,0.771014054,0.737051051,0.722283286,0.718913311,0.731974573,0.71886774,0.931346717,0.911518277,0.97130718,0.911358138,pants
584.0604626,740.208812,279.5734222,841.6532257,8.254396446,9.527258747,5.505009191,11.02602076,0.663321591,0.645061909,0.696246859,0.638744452,0.606730138,0.603259372,0.61715316,0.603076013,0.949354445,0.935958964,0.975757388,0.927182166,pants
377.8699142,490.6579316,175.4719669,461.6449673,6.085784314,7.139346405,3.024785539,6.84509035,0.719028185,0.70331915,0.80360981,0.702352616,0.665824242,0.662834787,0.669210507,0.662819775,0.96426868,0.953724043,0.983407398,0.956460374,dress
261.9693934,326.9303499,89.43756127,301.3585544,3.886243873,4.452995002,1.919546569,4.319938485,0.834074271,0.82742637,0.868477601,0.828411709,0.803843046,0.803970676,0.814345727,0.804186307,0.959151458,0.949112215,0.986033482,0.95309255,dress
501.2237439,491.8489196,96.82113971,601.8465821,7.31528799,7.250811226,2.471783088,8.172856594,0.739082001,0.736489567,0.788244755,0.732239983,0.713563205,0.712181318,0.720774909,0.711690983,0.946911501,0.948013113,0.989736848,0.936386706,dress
922.912163,993.7369319,367.7967831,1098.937824,13.26219363,13.42809689,7.206862745,14.27088043,0.549612655,0.552099096,0.601651427,0.547052418,0.50892333,0.508592735,0.516453744,0.508378378,0.930341585,0.925106668,0.972236502,0.917178212,dress
399.1601409,446.6716955,159.9270987,440.3678739,7.336672794,7.706435986,3.993581495,7.622222222,0.648358733,0.640031978,0.69031259,0.639175727,0.605152311,0.60347741,0.606921254,0.603630357,0.966607684,0.962717796,0.986621123,0.963243955,dress
319.160386,351.4137332,62.31770833,373.4745406,5.557107843,5.985728566,1.783609069,6.227081892,0.80212433,0.794776996,0.856285803,0.794423995,0.781817508,0.779111433,0.785210904,0.778743816,0.955904871,0.951600581,0.991390199,0.948562196,dress
579.0282782,731.1240292,321.2272978,735.0335102,8.460079657,9.679938485,6.030392157,9.725643983,0.763740706,0.760904608,0.774974643,0.760768428,0.751773699,0.75066117,0.756639534,0.750600583,0.931642473,0.913927462,0.962068047,0.913467213,dress
408.8847426,450.2938255,90.87261029,475.2201461,6.843627451,7.45857747,2.784681373,7.546020761,0.758509739,0.753002929,0.790775112,0.754319866,0.738754084,0.736530183,0.741957141,0.737221394,0.950579734,0.94573526,0.989016591,0.942731398,dress
791.4792279,962.1428374,409.5332414,994.0362015,11.88884804,13.15395617,6.612101716,13.20744329,0.601024072,0.586278454,0.652610892,0.587296913,0.54244627,0.539627671,0.542062148,0.539568156,0.938363705,0.925208915,0.968107676,0.92272972,dress
497.5749081,667.708912,386.7750613,680.2411995,8.41908701,9.520799692,6.342647059,9.689565552,0.613463831,0.606311468,0.653907459,0.60431616,0.571228376,0.567937315,0.570346941,0.567890551,0.958335501,0.944200448,0.967613341,0.943153141,dress
251.9560968,308.8794771,126.0145527,302.2176086,6.162928922,6.691826221,3.225275735,6.711295656,0.699750135,0.696674882,0.740698575,0.694473804,0.671501714,0.669187536,0.673936195,0.668941046,0.976007909,0.970665408,0.988000478,0.971298092,dress
547.1817096,660.0696963,260.5068934,659.3509881,7.409375,8.410119185,5.224601716,8.424636678,0.713704405,0.701900686,0.729956292,0.701052811,0.675633554,0.672324755,0.678643893,0.672278962,0.94788702,0.937301102,0.975189612,0.937369371,dress
517.1870711,572.0587005,176.6050705,625.8916263,7.11963848,7.557693195,3.265793505,7.975963091,0.773026157,0.769161027,0.818626104,0.769034206,0.750367066,0.749385737,0.756096887,0.749462913,0.939334134,0.933101165,0.979284417,0.926805727,dress
1058.805974,1052.625236,256.4132353,1181.814195,12.45006127,12.43610919,4.522824755,13.26717416,0.70171347,0.69926109,0.754221282,0.698523843,0.68574404,0.683593221,0.689281053,0.683759401,0.896315937,0.897201739,0.974890681,0.884585283,dress
237.2646752,324.954802,114.4693321,281.0640523,4.713235294,5.62651288,2.903676471,5.297654748,0.694048767,0.683134924,0.754899571,0.685537032,0.634390567,0.632138537,0.635865688,0.632185645,0.978671905,0.970859709,0.989710171,0.974795608,dress
842.2220588,977.6570088,599.6341759,1040.709835,11.26188725,12.15383314,9.387668505,12.55023453,0.698731692,0.69446,0.704565103,0.694482087,0.681591653,0.679848555,0.683648414,0.680000528,0.916886574,0.903757891,0.940812988,0.897550871,dress
640.1164522,670.7193541,372.1652267,754.5658439,10.85909926,11.06998847,7.68504902,11.87389466,0.559562064,0.556405368,0.587994211,0.552753712,0.513153029,0.512550042,0.5171418,0.512624995,0.949436557,0.947063515,0.970581005,0.940445936,dress
348.3810049,425.7855133,123.2777727,415.7979393,5.708210784,6.401922338,2.521829044,6.344713572,0.776925638,0.771407432,0.82352153,0.770318049,0.74190286,0.740520103,0.747237,0.740519017,0.960096141,0.951361519,0.985875392,0.952502423,dress
