contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,red,green,blue,hue,saturation,value,label
285.9495092,330.849338,285.5796921,323.3842625,3.059663955,3.553632224,3.066092833,3.457722665,0.942827362,0.93712623,0.942821388,0.938189392,0.860038439,0.857614282,0.859887048,0.857780463,0.429814745,0.341534408,0.430552162,0.35639161,18.17512894,18.17971802,18.16781998,9.738048553,4.360370636,19.12747955,jahe
274.938853,303.0806331,261.1617157,302.2650112,2.8962818,3.201787677,2.766901602,3.227086293,0.945769034,0.941866843,0.947049595,0.941222819,0.86606836,0.864122541,0.866272462,0.863851337,0.420764726,0.36268846,0.449790103,0.364403532,17.32994843,17.35123825,17.34946442,9.551525116,4.113964081,18.29738235,jahe
277.3867875,317.8928543,274.8798465,311.9842678,2.964232204,3.41806289,2.948454318,3.346601767,0.944232882,0.938634783,0.944270536,0.939420782,0.861812845,0.859175158,0.861448729,0.859390756,0.427211911,0.34481412,0.432388603,0.356991879,17.98811722,17.99584961,17.98952103,8.77722168,4.966281891,19.17071152,jahe
146.6337222,166.9629942,143.2759143,168.2606531,1.543289812,1.770772937,1.518369313,1.784046477,0.971289689,0.968494587,0.971409005,0.968292924,0.929246578,0.927823177,0.92909692,0.927729136,0.45567845,0.381406455,0.468143026,0.376598662,9.06893158,9.057567596,9.047515869,5.004375458,2.327705383,9.575668335,jahe
146.2383806,170.77466,146.0254785,170.0662298,1.531838613,1.792180637,1.530883072,1.784000521,0.971803829,0.968613358,0.971862146,0.968859406,0.93017918,0.928806686,0.930072355,0.928807504,0.45387185,0.363468837,0.454666934,0.366109381,8.909118652,8.921710968,8.911617279,4.547801971,2.208518982,9.417190552,jahe
143.3442775,171.6996718,147.8087161,171.9944547,1.540209149,1.846791334,1.586923618,1.848453399,0.970154325,0.966469753,0.969741299,0.966495632,0.927637436,0.926079645,0.92742046,0.92610769,0.502801057,0.405593078,0.487315862,0.40457257,9.279148102,9.269374847,9.261516571,4.405143738,2.458087921,9.860404968,jahe
166.7155623,190.9538107,160.1657978,190.8612253,1.797517123,2.053117137,1.705341854,2.05084233,0.966177476,0.963314999,0.96780536,0.963328868,0.918111691,0.916912138,0.918895524,0.917028817,0.451631668,0.373111364,0.473175448,0.373415316,10.41926575,10.42824936,10.41629791,5.593791962,2.73979187,11.09311676,jahe
178.7337023,200.4346644,163.3531143,195.4865599,1.841242661,2.07256406,1.683150379,2.028477219,0.967246937,0.964512867,0.969014154,0.964837197,0.920718864,0.919505528,0.921284934,0.919513091,0.403040922,0.331847342,0.454411097,0.34834194,10.1197319,10.12692642,10.11440659,5.335178375,2.708301544,10.82134247,jahe
285.0267704,330.8117769,277.903177,329.1075861,2.85824364,3.350975218,2.830425942,3.340619866,0.950370901,0.943814505,0.949692056,0.943936137,0.867304283,0.863898783,0.866371255,0.863870111,0.403042964,0.308472006,0.417962543,0.312034442,17.22259521,17.23299408,17.22156906,9.108421326,4.877689362,18.34674835,jahe
274.8073859,319.7911313,267.7856761,315.8494261,2.79070603,3.258290218,2.754212023,3.233374566,0.949688459,0.944429456,0.949876435,0.944568818,0.8712176,0.868724155,0.870811358,0.868648804,0.417029842,0.322894547,0.431925538,0.331240464,16.7000618,16.7035675,16.69798279,8.895767212,5.028244019,17.81758118,jahe
280.5073691,331.4160485,282.6301064,325.2838952,2.850224743,3.388605283,2.898093505,3.329199873,0.94941303,0.942626806,0.948148748,0.943203046,0.866498785,0.863085786,0.8655855,0.863410377,0.423052151,0.319641423,0.418686103,0.33223002,17.37391281,17.35814285,17.34917831,9.490261078,4.955539703,18.48371506,jahe
280.0677211,326.5621608,274.4584302,327.3205525,2.895448569,3.379544349,2.83203125,3.388344867,0.946352186,0.940601172,0.947266212,0.940522759,0.86534633,0.862933059,0.86575954,0.862734343,0.457624689,0.368785267,0.468487565,0.367319365,17.41544342,17.41155624,17.40232468,9.173793793,5.179862976,18.59696198,jahe
128.3042441,151.9602866,128.148277,151.9140092,1.327651052,1.577169205,1.332283513,1.588527924,0.975482359,0.972360532,0.975023196,0.972111214,0.938187084,0.936644878,0.937691023,0.936613231,0.483282642,0.389192609,0.483910766,0.389378622,7.912330627,7.913650513,7.907569885,4.038208008,2.105232239,8.404842377,jahe
